field,dataset,role,served_model,documentation_status,unit_or_encoding,availability_or_vintage,risk,decision
ppltn_qty,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
urbn_ppltn_qty,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
sbrbn_ppltn_qty,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
farm_ppltn_qty,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
non_farm_qty,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
medn_hshld_incm_amt,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,high,exclude_from_served_model_governance
medn_incm_per_prsn_amt,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,high,exclude_from_served_model_governance
hous_val_amt,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,high,exclude_from_served_model_governance
edctn_less_than_9_qty,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
edctn_9_12_qty,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
edctn_high_schl_qty,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
edctn_some_clg_qty,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
edctn_assoc_dgre_qty,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
edctn_bchlr_dgre_qty,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
edctn_prfsnl_qty,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
per_urbn,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
per_sbrbn,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
per_farm,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
per_non_farm,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
per_less_than_9,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
per_9_to_12,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
per_hsd,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
per_some_clg,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
per_assoc,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
per_bchlr,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
per_prfsnl,demographics,experimental_feature,no,column_name_only,not_formally_documented,source_and_vintage_not_documented,medium,exclude_from_served_model_governance
zipcode,demographics,join_key,no,format_only,five_digit_category,source_and_vintage_not_documented,medium,join_key_only_demographic_experiment
